,name,discription
1374,                    rose hip                ,
1375,                    rose hip oil                ,"Non-fragrant emollient plant oil that has antioxidant properties and is a rich source of skin-beneficial fatty acids.References for this information:AAPS Pharm SciTech, August 2016, pages 863-871The Journal of Nutrition, March 2002, pages 461-471Journal of Agricultural and Food Chemistry, March 2000, pages 825-828"
1376,                    rosemary extract                ,"Extract that can have antioxidant benefit for skin, but its aromatic components can cause sensitivity. However, in most skincare products the amount of rosemary extract is unlikely to be a risk, and rosemary extract is much less of a problem for skin than rosemary oil because the extract usually doesn’t contain much, if any, of rosemary oil’s volatile fragrance components.Research has shown that rosmarinic acid, one of the components in rosemary extract, has a calming effect on skin, which may be useful for mitigating several common skin issues. Rosmarinic acid is an antioxidant, as is caffeic acid, another naturally occurring component of rosemary. See rosemary oilReferences for this information:Pharmacognosy Review, January-June 2014, pages 52-60Journal of Medicinal Food, April 2013, pages 324-333Chemical Research in Toxicology, November 2001, issue 4, pages 1546-1551Journal of Agricultural and Food Chemistry, September 1999, issue 10, pages 3,954-3,962"
1377,                    rosemary oil                ,"Fragrant plant oil derived from rosemary (Latin name Rosmarinus officinalis). This ingredient is used primarily as a fragrance in cosmetics, but the volatile chemicals that give it its fragrance (camphor is among them) are also capable of causing sensitivity when applied to skin."
1378,                    rose oil                ,"Fragrant, volatile oil that can aggravate skin."
1379,                    rosewood oil                ,"Fragrant plant oil with a spicy-sweet scent, also known as bois de rose. Extracted from wood chips from a species of evergreen tree, rosewood oil contains several volatile fragrance chemicals, including camphene, geranial, geraniol, limonene, linalool, myrcene, and neral. Rosewood oil is used chiefly as a fragrance and flavoring ingredient; there’s no research pertaining to its benefit for skin."
1380,                    Rosmarinus officinalis extract                ,
1381,                    royal jelly                ,"The myriad claims about royal jelly are anecdotal and have no research to substantiate them. Regardless of where the royal jelly is sourced, its chemical breakdown is mostly water, followed by proteins, sugars,  a tiny amount of fats and trace amonuts of vitamins, minerals, and enzymes. None of this is the key to improved signs of aging, though components in royal jelly can function as water-binding agents. Not surprisingly, topical application of this bee-produced ingredient can aggravate skin. However, it is rarely used in high enough concentrations to cause problems.Royal jelly is highly unstable and will break down if packaged in a jar that routinely exposes it to light and air. Also, ideally, it requires refrigeration to maintain efficacy."
1382,                    Rubus idaeus                ,
1383,                    Rubus occidentalis                ,
1384,                    Rubus ursinus                ,
1385,                    Rubus ursinus x idaeus                ,
1386,                    Rubus villoscus                ,"The Latin name for blackberry fruit extract. This plant extract has antioxidant ability that stems from its phenolic acid content. Antioxidant components of blackberry fruit include ferulic acid, caffeic acid, and quercetin, among many others. As with all berries, blackberries are a brilliant source of naturally-occurring antioxidants that benefit skin when applied topically (Sources: Journal of Zhejiang University, February 2012, pages 94-102; Journal of Agricultural and Food Chemistry, ePublication, December 8, 2011; and www.naturaldatabase.com)."
1387,                    Ruscus aculeatus                ,
1388,                    rutin                ,Bioflavonoid that is extracted from various plants and used in cosmetics as an antioxidant and emollient.
1389,                    saccharide isomerate                ,"Good water-binding agent and emollient for skin, and particularly helpful for dry skin. "
1390,                    saccharides                ,
1391,                    Saccharomyces calcium ferment                ,Extract of yeast fermented in the presence of calcium ions. It has no known benefit for skin but theoretically could help boost hydration.
1392,                    Saccharomyces cerevisiae                ,"Saccharomyces, from the Latin, literally means ""sugar fungus,"" and is the scientific name for the yeasts used in fermentation, specifically baker’s yeast. Cosmetic ingredient manufacturers extol this yeast as having significant properties for skin, but there is little independent research supporting its use. However, some extracts of yeast, such as beta-glucan (a potent antioxidant) are derived from yeast.References for this information:Proceedings of the National Academy of Sciences, August 15, 1989, pages 6018–6022http://www.in-cosmetics.com/ExhibitorLibrary/3/BiodynesO3.pdf"
1393,                    Saccharomyces copper ferment                ,"Extract of yeast fermented in the presence of copper ions. There is no known benefit for skin, though it may have antioxidant properties."
1394,                    Saccharomyces iron ferment                ,Extract of yeast fermented in the presence of iron ions.
1395,                    Saccharomyces lysate                ,
1396,                    Saccharomyces magnesium ferment                ,Extract of yeast fermented in the presence of magnesium ions.
1397,                    Saccharomyces manganese ferment                ,Extract of yeast fermented in the presence of manganese ions.
1398,                    Saccharomyces officinarum ferment                ,"Derived from the sugarcane plant. Glycolic acid is also derived from sugarcane, but sugarcane extract does not have the same exfoliating properties as glycolic acid. There is no research showing that sugarcane extract has any benefit for skin."
1399,                    Saccharomyces potassium ferment                ,Extract of yeast fermented in the presence of potassium ions.
1400,                    saccharomyces selenium ferment                ,An ingredient created by the fermentation of the Saccharomyces yeast with the mineral selenium.
1401,                    Saccharomyces silicon ferment                ,Extract of yeast fermented in the presence of silicon ions.
1402,                    Saccharomyces zinc ferment                ,Extract of yeast fermented in the presence of zinc ions.
1403,                    safflower seed oil                ,"Emollient oil derived from the safflower (Carthamus tinctorius) plant, similar to all non-fragrant plant oils. Safflower seed oil contains beneficial fatty acids, primarily linolenic acid, that can help diminish signs and occurrence of dry skin.References for this information:CyTA – Journal of Food, Volume 15, Issue 1, 2017The Review of Natural Products by Facts and Comparisons. St. Louis, MO: Wolters Kluwer Co., 1999.PDR for Herbal Medicines. 1st ed. Montvale, NJ: Medical Economics Company, Inc., 1998."
1404,                    sage extract                ,"Plant used most often to enhance the flavor of foods. Like all plant extracts, sage contains components that function as antioxidants. There is some potential for sensitivity with sage extracts, but the risk is relatively low at the amounts used in topical skincare products.References for this information:Planta Medica, September 2007, pages 1.190-1,191Journal of Ethnopharmacology, May 2001, pages 125-132"
1405,                    salicin                ,
1406,                    salicylic acid                ,"Also called beta hydroxy acid (BHA), this multifunctional ingredient addresses many of the systemic causes of acne. Its primary benefit is as an exfoliant, helping shed dead skin in a way similar to how skin acts when we are younger. Because it has the ability to penetrate into the pore lining and exfoliate inside the pore as well as on the surface of skin, it is especially effective for reducing breakouts, including blackheads and whiteheads.  In addition to these benefits, salicylic acid also has soothing properties to calm aggravated skin, can help minimize the appearance of an uneven skin tone, and has hydrating abilities that can result in smoother skin.  References for this information: Clinical, Cosmetic, and Investigational Dermatology, August 2015, pages 455-461 Clinical, Cosmetic, and Investigational Dermatology, November 2010, pages 135-142 Seminars in Cutaneous Medicine and Surgery, September 2008, pages 170-176 Journal of the American Academy of Dermatology, April 2007, pages 651-663 International Journal of Cosmetic Science, February 2000, pages 21-52 Seminars in Dermatology, December 1990, pages 305-308."
1407,                    Salix alba extract                ,
1408,                    Salix nigra (willow) bark extract                ,
1409,                    Salvia hispanica (chia) seed oil                ,"Non-fragrant plant oil whose seeds are a rich source of fatty acids, including omega-3 (as alpha-linoleic acid) plus unsaturated fatty acids linolenic and palmitic acids. Chia seed oil is also a rich source of phenolic acids and isoflavones, two potent sources of antioxidants. References for this information: Journal of Food Science and Technology, August 2016, pages 3,206-3,214Journal of Chromatography A., June 2014, pages 43-48Agricultural Sciences,  February 2014, pages 220-226Annals of Dermatology, May 2010, pages 143-148"
1410,                    Salvia officinalis                ,
1411,                    Sambucus canadensis                ,
1412,                    Sambucus cerulea                ,"Blue elderberry. May have antioxidant properties for skin due to its anthocyanin content.References for this information: Food Chemistry, June 2016, pages 134-140Journal of Agricultural and Food Chemistry, June 2014, pages 5,573-5,580"
1413,                    Sambucus nigra                ,"Also known as black elderberry or Sambucus nigra,  this plant has potent antioxidant properties due to the flavonoid compounds naturally present. Elderberry has skin-soothing effects.References for this information:Journal of Agricultural and Food Chemistry,  September 2010, issue 18, pages 10,143-10,146Journal of Agricultural and Food Chemistry, December 2004, issue 26, pages 7,846-7,856"
1414,                    Sambucus nigra fruit extract                ,"Also known as black elderberry or Sambucus nigra,  this plant has potent antioxidant properties due to the flavonoid compounds naturally present. Elderberry has skin-soothing effects.References for this information:Journal of Agricultural and Food Chemistry,  September 2010, issue 18, pages 10,143-10,146Journal of Agricultural and Food Chemistry, December 2004, issue 26, pages 7,846-7,856"
1415,                    sandalwood oil                ,"Fragrant oil (Latin name Santalum album) that can cause skin sensitivity, especially when used in pure concentrations. Sandalwood oil is a must to avoid if you have extra-sensitive skin or normally react to fragrance.References for this information:Indian Journal of Dermatology, January-February 2015, pages 3-12Food and Chemical Toxicology, February 2008 pages 421-432Encyclopedia of Common Natural Ingredients Used in Food, Drugs and Cosmetics, 2nd ed. New York, NY: John Wiley & Sons, 1996"
1416,                    Santalum album seed extract                ,"Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have antioxidant properties. It also can be a skin sensitizer (Sources: Journal of Ethnopharmacology, July 2000, pages 23–43)."
1417,                    Sapindus mukurossi peel extract                ,"A plant extract that is a natural source of saponin.Reference for this information:Chinese Journal of Chromatography, November 2001, pages 529–531"
1418,                    Saponaria officinalis extract                ,
1419,                    saponin                ,"Group of natural carbohydrates, found in plants, and have been shown to have skin-soothing and antioxidant properties (Sources: Fitoterapia, July 2002, page 336; and Drug Metabolism and Drug Interaction, 2000, volume 17, issue 1-4, pages 211–235)."
1420,                    sarcosine                ,"A synthetic amino acid derivative that functions as a skin conditioning and oil-control agent and may play a role in enhancing the penetration of other ingredients. Research has shown that sarcosine can help minimize the impact UV light exposure has on skin’s surface, so you may find it included in various types of sunscreen. It’s considered non-sensitizing. References for this information: Journal of Controlled Release, January 2013, pages 91-100 International Journal of Toxicology, July-August 2012, pages 358-363 Skin Pharmacology and Physiology, January 2007, pages 155-161 "
1421,                    Sargassum filipendula extract                ,
1422,                    sausurrea oil                ,"Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin sensitizer.Reference for this information:Pharmacognosy Research, July-September 2013, pages 179-182"
1423,                    Saxifraga sarmentosa extract                ,
1424,                    sclareolide                ,"An ingredient that's fermented from clary sage and used as a fragrant component in cosmetics. As such, it has the potential to be a skin sensitizer."
1425,                    Sclerocarya birrea                ,"More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that's a rich source of fatty acids for skin, including palmitic and stearic acids. References for this information:Journal of Ethnopharmacology, April 2014, pages 61-84Plant Foods for Human Nutrition, July 1992, pages 201–206"
1426,                    sclerotium gum                ,"A plant-derived, gel-like polysaccharide (sugar-based) ingredient that’s used in cosmetics to thicken and stabilize formulas. It is considered safe as used in cosmetics, and is similar to xanthan gum.References for this information:https://www.cir-safety.org/sites/default/files/microb092012rep.pdf"
1427,                    Scutellaria baicalensis extract                ,
1428,                    SD alcohol                ,
1429,                    SD alcohol 40-2                ,Denatured alcohol used as a solvent. It can be drying to skin when one of the main ingredients in a cosmetic product. Lesser amounts are not cause for concern.
1430,                    sea buckthorn                ,"Berry extract that grows on a shrub-like tree. The fruit of this plant contains malic and acetic acids (AHA-like ingredients that give the fruit an astringent, acidic taste) as well as beneficial compounds known as flavonoids, plus fatty acids. Sea buckthorn is a rich source of vitamin C, but most of it is lost when the fruit is processed for production (which includes manufacture for use in cosmetics products).Sea buckthorn is believed to have several topical benefits, and research is bearing this out, but comparative studies are lacking.References for this information:Food and Chemical Toxicology, June 2009, pages 1,146-1,153PLOS One, April 2012, ePublication"
1431,                    Seamollient                ,Trade name for an algae extract.
1432,                    sea salt                ,"Can be effective as a topical scrub, but if left on skin, it can increase the risk of a sensitized reaction.Reference for this information:Der Hautarzt, June 1998, pages 482–486"
1433,                    seaweed                ,"Group of sea plants (scientific name: algae) of all sizes and shapes, and having a gelatin-like consistency. Many seaweeds have antioxidant and skin-soothing properties, but many other claims of benefits are not proven or only apply to the plant as it exists in its natural environment, not mixed into a cosmetic product."
1434,                    sea whip extract                ,"Extract from a creature (Pseudopterogorgia elisabethae) that inhabits coral reefs, known for its skin-soothing properties, which makes it useful for all skin types, especially sensitive or redness-prone skin.References for this information:Journal of Inflammation (London), March 2009: https://journal-inflammation.biomedcentral.com/articles/10.1186/1476-9255-6-5Journal of Natural Products, January 2001, pages 100–102Life Sciences, May 22, 1998, pages 401–407"
1435,                    sebacic acid                ,Used as a pH adjuster.
1436,                    selenium                ,"Mineral considered to be a potent antioxidant.Reference for this information:Biomedicine and Pharmacotherapy, June 2002, pages 173–178"
1437,                    Serenoa serrulata extract                ,Latin name for saw palmetto. There's no research showing topical applicatoin of this plant can benefit skin.
1438,                    sericin                ,Scientific name for silk protein.
1439,                    serine                ,
1440,                    sesame oil                ,Emollient oil (Latin name Sesamum indicum) similar to other non-fragrant plant oils.
1441,                    Sesamum indicum                ,
1442,                    sesquioleate                ,Used in cosmetics as a thickening agent and emollient.
1443,                    shea butter                ,"Also listed by its Latin name of Butyrospermum parkii, this plant lipid, extracted from the karite tree is used as an emollient in cosmetics and has smoothing properties for dry skin.Shea butter doesn’t just have a rich texture; it’s also a rich source of antioxidants, including quercetin, epicatechin gallate, gallocatechin, epigallocatechin, as well as skin-replenishing fatty acids (stearic and linoleic). It is a wonderful ingredient to see in products designed to improve dry skin.References for this information:Journal of Clinical and Aesthetic Dermatology, June 2011, pages 45-55Journal of Agricultural and Food Chemistry, October 2003, pages 6,268-6,273Journal of Allergy and Clinical Immunology, February 2009, page S41 "
1444,                    Siegesbeckia orientalis                ,Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any benefit for skin.
1445,                    silanetriol                ,A silicone-derived synthetic ingredient that helps to improve the feel of skin and hair and improve product esthetics.  It is sometimes combined with wheat protein to help improve the tensile strength of hair.
1446,                    silica                ,"Mineral found abundantly in sandstone, clay, and granite, as well as in parts of plants and animals. Silica can also be produced synthetically and is used as an absorbent powder and thickening agent in cosmetics. Certain forms of silica can improve even distribution of pigments in cosmetics and prevents them from settling in makeup. Silica particles can enhance the absorption of other ingredients.References for this information:Biological and Pharmaceutical Bulletin, 2016, pages 1201-1205Cosmetics & Toiletries, April 2015, pages 36-45"
1447,                    silica dimethyl silylate                ,Synthetic ingredient used as a slip and suspending agent in cosmetics.
1448,                    silicate                ,Inorganic salt that has potent absorbing and thickening properties.
1449,                    silicone                ,"Substance derived from silica (sand is a silica). The unique fluid properties of silicone give it a great deal of slip, and in its various forms it can feel like silk on skin, impart emollience, and be a water-binding agent that holds up well, even when skin becomes wet. The research about silicones have proven them to be superior scar-healing ingredients, soothing agents, non-irritating, and uniquely effective delivery and suspending agents for a wide range of cosmetic ingredients. There are numerous forms of silicones used in cosmetic products, particularly leave-on skincare products and all manner of hair-care products. Common forms of silicone are cyclopentasiloxane and cyclohexasiloxane; other forms include various types of dimethicone and phenyl trimethicone.Claims that silicones in any form cause or  worsen skin concerns have not been substantiated in any published research, nor have reports that silicones are sensitizing to or somehow “suffocate” skin. In fact, just the opposite is true which makes the misinformation difficult to understand. Almost all of the claims about silicones being problematic for skin are apparently myths or based on anecdotal evidence.Because of silicone’s unique molecular properties, they are at the same time porous and resistant though not impermeable to air. Think of silicones in a skincare formula like the covering of a tea bag. When you steep the tea bag in water the tea and all of its antioxidant properties are released into the water. Silicones remain on the surface of your skin and the other ingredients it’s mixed with “steep” through. All ingredients must be suspended in some base formula; some of the ingredients remain on the surface, some are absorbed. The intent is for the “actives” to get through. The special molecular structure of silicones (large molecules with wide spaces between each molecule) allows them to form a permeable barrier and also explains why silicones rarely feel heavy or occlusive, although they still offer protection against moisture loss.Interestingly, silicone has been shown to be helpful for offsetting dryness and flaking from common ingredients such as benzoyl peroxide.Bottom line: The types of silicones used in cosmetic products are supported by scientific research and are considered safe for consumer use. These types of cosmetic silicones are effective, inert, and versatile ingredients that benefit skin and hair in numerous ways.References for this information:International Journal of Pharmaceuticals, March 2017, pages 158-162Molecular Therapy, June 2017, pages 1342-1352 Plastic Reconstructive Surgery Global, December 2016, e1183 Journal of Clinical and Aesthetic Dermatology, December 2016, pages 13-20 Frontiers in Pharmacology, May 2015, ePublication International Journal of Pharmaceutical Compounding, May-June 2015, pages 223-230 International Journal of Toxicology, May-June 2013, pages 5S-24S Dermatology Research and Practice, October 2010, ePublication Cutis, October 2008, pages 218-284 http://www.cosmeticsandtoiletries.com/formulating/category/antiaging/34408409.html"
1450,                    silk                ,
1451,                    silk powder                ,Synthetically derived powder used as an absorbent and slip agent.
1452,                    silk protein                ,"Protein substance (also called sericin) formed by converting silk, which is the soft, lustrous thread obtained from the cocoon of the silkworm. Silk protein can have water-binding properties for skin. However, whether the protein applied to skin is derived from animals or plants, the skin can’t tell the difference. There is a small amount of research showing silk protein may have topical antioxidant properties (Source: Bioscience, Biotechnology, and Biochemistry, January 1998, pages 145–147)."
1453,                    siloxane                ,
1454,                    silt                ,A sediment obtained from various bodies of water. Silt’s absorbent nature helps it function to absorb excess surface oil. Most types of silt contain a small amount (12% or less) or natural clay.
1455,                    silver                ,"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can turn skin grayish blue. Silver can be sensitizing to skin, and can cause silver toxicity.References for this information:Annals of Dermatology and Venereology, February 2002, pages 217–219Critical Reviews in Toxicology, May 1996, pages 255–260"
1456,                    silver chloride                ,An inorganic salt that has no known function in cosmetics.
1457,                    silver tip white tea leaf extract                ,
1458,                    Silybum marianum extract                ,
1459,                    simethicone                ,"Mixture of dimethicone with silica; related to silicones, but used as an antifoaming agent."
1460,                    Simmondsia chinensis                ,
1461,                    skin-replenishing ingredients                ,"These are skincare ingredients that help enrich skin's surface, drenching it with revitalizing hydration and keeping it there. Doing so helps keep skin looking and feeling soft, smooth, and supple—especially skin that's persistently dry, tight, and uncomfortable. Daily application of skin-replenishing ingredients keeps skin safeguarded from environmental factors that lead to moisture loss and dehydration, and help skin appear younger, more vibrant, and replenished!There are numerous skin-replenishing ingredients to consider, some of which are naturally present in skin, including hyaluronic acid, ceramides, sodium PCA, glycerin, glycerol, cholesterol, and phospholipids. Other examples of research-proven skin-replenishing ingredients are silicones, petrolatum, triglycerides, omega fatty acids, and exfoliating ingredients like alpha hydroxy acids (AHAs like glycolic acid) and beta hydroxy acid (BHA, salicylic acid).    References for this information:    Journal of the American Academy of Dermatology, July 2014, pages 177-184    Dermatoendocrinology, July 2012, pages 253-258    Dermatologic Therapy, May-June 2012, pages 229-233  and Volume 17, Supplemental, 2004, pages 49-56    British Journal of Dermatology, September 2008, pages 567-577    Journal of Investigative Dermatology, August 2003, pages 231-241    Der Hautarzt, January 1998, pages 6-9"
1462,                    skin-restoring ingredients                ,"Skincare ingredients that nourish skin’s surface in a way that helps transform it on many levels to appear noticeably younger, with a renewed feeling of firmness, and a more even-looking complexion. With ongoing use, these ingredients also help improve dull skin tone and rough texture, plus soften the appearance of fine lines and wrinkles—including deep wrinkles. Well-researched examples of skin-restoring ingredients include retinol, niacinamide, peptides, linoleic and linolenic acids, epigallocatechin-3-gallate (found in green tea), and adenosine.    References for this information:  Aging Research Reviews, January 2015, pages 8-21  British Journal of Dermatology, March 2010, pages 647-654  Dermatologic Therapy, September-October 2007, pages 343-349  Archives of Dermatology, May 2007, pages 605-612  International Journal of Cosmetic Science, December 2006, pages 343-349  Dermatologic Surgery, July 2005, pages 860-865International Journal of Cosmetic Science, May 2004, pages 231-238"
1463,                    skullcap extract                ,"Herbal extract from Scutellaria baicalensis that has antioxidant and soothing properties for skin.Reference for this information:Life Sciences, January 2002, pages 1023–1033"
1464,                    slip agent                ,"Term used to describe a range of ingredients that help other ingredients spread over skin and penetrate into it. Slip agents also have humectant properties. Slip agents include butylene glycol, glycerin, polysorbates, and propylene glycol, to name a few. They are as basic to the world of skincare as water."
1465,                    slippery elm bark                ,"Plant that can be a good skin-soothing agent but can also be an allergen if used in high amounts.Reference for this information:The Review of Natural Products by Facts and Comparisons. St. Louis, MO: Wolters Kluwer Co., 1999PDR for Herbal Medicines. 1st ed. Montvale, NJ: Medical Economics Company, Inc., 1998"
1466,                    soap                ,"True “soaps” are regulated by the Consumer Product Safety Commission and are not required to list their ingredients on the label. They are made up solely of fats and alkali. Many bar cleansers are not soaps, but contain synthetic detergent cleansing agents and various thickening agents that keep the bar in its bar form.Most soaps are considered very drying due to their alkaline base (i.e., a pH over 8). Bar cleansers can be gentler than bar soaps, but are more often than not still drying, depending on their composition.References for this information:Cutis, December 2001, pages 12–19Archives of Dermatologic Research, June 2001, pages 308–318Dermatologic Clinics, October 2000, pages 561–575"
1467,                    soapberry extract                ,Extract from the tree Sapindus saponaria. The berries contain a good amount of saponins.
1468,                    soapwort                ,"Plant from which is derived an extract with detergent cleansing properties.Reference for this information:Biochemical and Biophysical Research Communications, May 1997, pages 129–132"
1469,                    sodium acetate                ,"The sodium salt derived from acetic acid, it serves as a buffering agent when used in small amounts.  "
1470,                    sodium acrylate/acryloydimethyl taurate copolymer                ,Synthetic polymer used as a stabilizing and suspending agent and as a thickening agent.
1471,                    sodium ascorbate                ,
1472,                    sodium ascorbyl phosphate                ,"Sodium ascorbyl phosphate is a stable, water-soluble form of vitamin C that functions as an antioxidant and is potentially effective for brightening an uneven skin tone.   There is also research showing amounts of 1% and 5% concentrations of sodium ascorbyl phosphate can influence factors linked to breakouts. Thus, this form of vitamin C may be an effective adjunct to anti-acne products that contain benzoyl peroxide and salicylic acid.  References for this information: Drug Research, October 2016, ePublication Journal of Photochemistry and Photobiology, August 2009, pages 130-135 International Journal of Cosmetic Science, December 2008, pages 453-458 International Journal of Cosmetic Science, June 2005, pages 171-176"
1473,                    sodium benzoate                ,Salt of benzoic acid used as a preservative in both cosmetics and food products. The U.S. Food and Drug Administration (FDA) has designated it a “generally recognized as safe” ingredient.Reference for this information:U.S. Food and Drug Administration CFF – Code of Federal Regulations Title 21
1474,                    sodium bicarbonate                ,"A synthetic inorganic salt more commonly known as baking soda. It has many functions in cosmetics, including pH adjuster, buffering agent, and abrasive, such as in face or body scrubs. When used in small amounts to adjust and maintain the pH of cosmetic products, baking soda is not a problem for skin; however, when used among the main ingredient in scrub products, it’s simply too abrasive and an ingredient we don’t recommend. The rating for this ingredient pertains to its benefit as a pH adjuster and buffering agent.References for this information:Journal of the American Academy of Dermatology, May 2010, pages 885-886https://pubchem.ncbi.nlm.nih.gov/compound/sodium_bicarbonate"
1475,                    sodium bisulfite                ,"Used in acid-type permanent waves to alter the shape of hair. It is less damaging than alkaline permanent waves, but also has limitations regarding how much change it can effect in hair. It can be a skin sensitizer."
1476,                    sodium borate                ,
1477,                    sodium C14-16 olefin sulfonate                ,"Used primarily as a detergent cleansing agent, but is potentially drying and can aggravate skin. Can be derived from coconut. It’s tricky to include in formulas due to stability issues, but it does produce copious foam.Reference for this information:International Journal of Toxicology, October 1998, issue 5, pages 39-65"
1478,                    sodium carbomer                ,A blend of sodium (salt) and carbomer that functions as a stabilizer and film-forming agent.
1479,                    sodium carbonate                ,Absorbent salt used in cosmetics; it can also be a skin sensitizer.
1480,                    sodium carboxymethyl beta-glucan                ,"A carbohydrate ingredient with a gel-like texture, it functions as a binding agent and texture enhancer."
1481,                    sodium cetearyl sulfate                ,A mixture of stearyl and cetyl sulfate that funtions as a surfactant.
1482,                    sodium chloride                ,"More popularly known as common table salt. Used primarily as a binding agent in skincare products and occasionally as an abrasive in scrub products. Perhaps the most common use of sodium chloride in cosmetics is as a thickening agent. Salt is commonly used to thicken the water (also known as aqueous) phase of shampoos, body washes, and non-soap facial cleansers. It’s an inexpensive and highly effective, versatile ingredient included in numerous types of cosmetics. Reference for this information:http://www.cosmeticsinfo.org/ingredient/sodium-chloride-0"
1483,                    sodium chondroitin sulfate                ,"Derived from natural mucopolysaccharides, it functions as a skin-softening agent."
1484,                    sodium citrate                ,"Used primarily to control the pH level of a product, this ingredient also has antioxidant and preservative properties."
1485,                    sodium cocoamphoacetate                ,Gentle cleansing agent derived from coconut fatty acids. It functions as a cleansing agent and can also have mild conditioning properties. It has a slight tendency to foam during use.
1486,                    sodium cocoate                ,Cleansing agent used primarily in soaps and bar cleansers. It can be drying and sensitizing for skin.
1487,                    sodium cocoyl amino acids                ,The salt form of amino acids hydrolyzed from coconut. In cosmetics they are used as a mild surfactant.
1488,                    sodium cocoyl glutamate                ,"Cleansing agent derived from coconut oil. This ingredient is also used to help soften (remove excess minerals from) hard water.Reference for this information:Dermatitis, September-October 2010, pages 262-268"
1489,                    sodium cocoyl glycinate                ,"Sodium cocoyl glycinate is an amino acid-derived cleansing and skin-softening ingredient that sometimes also shows up in hair care products. It may be animal- or plant-derived or, as is often the case, synthetic, but is typically created from coconut fatty acids and the amino acid glycine.  As a cleansing agent, sodium cocoyl glycinate is considered mild and non-drying. It’s one of the few cleansing agents that naturally produces a creamy-feeling lather. It’s considered safe and non-irritating to skin as used in cosmetic products.  References for this information:  The Journal of Clinical and Aesthetic Dermatology, June 2013, pages 23-30 https://www.cir-safety.org/sites/default/files/alkyl_amides_0.pdf "
1490,                    sodium cocoyl isethionate                ,"Derived from coconut, a mild detergent cleansing agent and the chief ingredient in non-soap Dove Beauty Bar."
1491,                    sodium dehydroacetate                ,Organic salt used as a preservative.
1492,                    sodium dilauramidoglutamide lysine                ,"A plant-derived ingredient that helps rejuvenate skin and hair while also functioning as an emulsifier in cosmetic formulas. Emulsifiers are ingredients that keep unlike substances (such as oil and water) from separating. Only low levels of this ingredient are needed for efficacy, which is great because some people are sensitive to emulsifiers."
1493,                    sodium gluconate                ,"The salt form of gluconic acid, a mild acid produced from the sugar glucose. Despite the in-part sugar origins, this is a synthetic ingredient that functions as a chelating agent. Interestingly, the human body produces gluconates on its own to assist in obtaining nutrients from minerals.  Reference for this information:  https://www.cosmeticsinfo.org/ingredient/sodium-gluconate "
1494,                    sodium hexametaphosphate                ,"Salt with multiple functions in cosmetics. It can act as a detergent, an emulsifier, a texturizer, and a preservative that prevents metallic compounds from negatively affecting a product."
1495,                    sodium hyaluronate                ,"Salt form of skin-replenishing ingredient hyaluronic acid; considered more effective for skin than pure hyaluronic acid due to its greater compatibility.   References for this information:    Journal of Cosmetic Dermatology, July 2014, pages 277-287  Journal of Clinical and Aesthetic Dermatology, October 2012, pages 20-23  DermatoEndocrinology, July-December 2012, pages 253-258  Journal of Drugs in Dermatology, September 2011, pages 990-1000"
1496,                    sodium hyaluronate crosspolymer                ,"A modified form of skin-replenishing hyaluronic acid attached to a polymer structure that keeps it within skin’s uppermost layers longer, allowing for enhanced hydration. Sodium hyaluronate crosspolymer is not animal-derived.References for this information:    Journal of Cosmetic Dermatology, July 2014, pages 277-287  Journal of Clinical and Aesthetic Dermatology, October 2012, pages 20-23  DermatoEndocrinology, July-December 2012, pages 253-258  Journal of Drugs in Dermatology, September 2011, pages 990-1000"
1497,                    sodium hydroxide                ,"Also known as lye, sodium hydroxide is a highly alkaline ingredient used in small amounts in cosmetics to establish and hold the pH of a product.It’s also used as a cleansing and denaturing agent. In high concentrations, it’s a significant skin sensitizer.References for this information: Acta dermato-venereologica, March 1995, pages 97-101http://www.cosmeticsinfo.org/ingredient/sodium-hydroxide"
1498,                    sodium hydroxymethylglycinate                ,"Derived from amino acids and used as a skin-softening and hair-conditioning agent, and to a lesser extent as a preservative."
1499,                    sodium lactate                ,Sodium salt of lactic acid. Used primarily as a hydrating and buffering agent (to adjust a product’s pH value).
1500,                    sodium lactobionate                ,"The salt of lactobionic acid, this ingredient is a white, crystalline powder used to synthesize other chemicals. May function as a preservative in skincare products. There is no research proving this ingredient exfoliates skin."
1501,                    sodium laureth-13 carboxylate                ,An ingredient used primarily as a detergent cleansing agent. 
1502,                    sodium laureth sulfate                ,"Used primarily as a detergent cleansing agent. Can be derived from coconut. It’s considered gentle and effective as typically used in cosmetics products (typically facial or body cleansers and shampoos). Despite the name similarity, sodium laureth sulfate is NOT the same as sodium lauryl sulfate. The former is a milder cleansing agent due to a higher amount and different chemical structure of the fatty alcohols required to manufacture this cleansing agent. The safety of sodium laureth sulfate has been reviewed by numerous industry experts and deemed safe as used.References for this information:International Journal of Toxicology, July 2010, pages 151S-161SContact Dermatitis, January 2003, issue 1, pages 26-32Food and Chemical Toxicology, March 2001, pages 279-286"
1503,                    sodium lauroamphoacetate                ,Mild surfactant (cleansing agent) also used as a lather agent.
1504,                    sodium lauroyl lactylate                ,"Used as an emulsifier and mild thickening agent in cosmetics. In higher concentrations, it functions as a surfactant."
